Country Name,Country Code,Series Name,Series Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
Ghana,GHA,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,..,..,..,..,..,..,..,..,..,4.11037015914917,..,5.35444021224976,..,..,7.53558015823364,7.42208003997803,5.14794015884399,5.51986980438232,5.75795984268188,5.31744003295898,5.54059982299805,8.14097023010254,7.91913986206055,4.57644987106323,4.39978981018066,4.43404006958008,4.3945198059082,3.53362989425659,3.8861300945282,3.15307114842573,3.40915991351725,3.4005042684722,2.90963831638452,..
Ghana,GHA,"Adjusted net savings, excluding particulate emission damage (% of GNI)",NY.ADJ.SVNX.GN.ZS,-2.58274442252544,-0.295056372526511,-6.64888661831335,-2.96844596153396,-0.479490498459366,-2.01481743321334,-2.04089618350197,-9.11671919702909,-1.33190207064851,-5.24644160221648,-4.48668370565029,3.14347674592202,0.345835227133681,1.08689277098812,6.96417668395359,4.04526991213825,5.28386131277051,-6.59865292121464,-8.15961596313803,-2.98226895492248,-8.67824981037558,-10.1047524483796,-8.68590166944275,3.5629332816197,3.40955189880886,6.36166323453558,5.95114424495493,2.78809823977692,8.03844541943396,5.54828569417505,14.5722836672982,4.45094717226065,..,..
Ghana,GHA,"Prevalence of stunting, height for age, male (% of children under 5)",SH.STA.STNT.MA.ZS,..,..,..,36.2,..,..,..,37.3,33.7,..,..,..,..,38.4,..,..,29.7,..,30.1,..,..,25.3,..,..,20.4,..,..,19.5,..,..,..,..,19.4,..
Ghana,GHA,"Prevalence of stunting, height for age, female (% of children under 5)",SH.STA.STNT.FE.ZS,..,..,..,29.3,..,..,..,32.2,27.7,..,..,..,..,32.6,..,..,26,..,26.6,..,..,20.3,..,..,17,..,..,15.6,..,..,..,..,15.3,..
Ghana,GHA,"Prevalence of underweight, weight for age (% of children under 5)",SH.STA.MALN.ZS,..,..,..,25.1,..,..,..,22.2,20.1,..,..,..,..,19,..,..,13.9,..,14.4,..,..,13.4,..,..,11.2,..,..,12.6,..,..,..,..,12,..
Ghana,GHA,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,..,..,..,..,..,..,..,..,..,..,..,14.8,13.4,12.6,12,11.1,10.4,9.2,8.1,6.9,6.9,7.3,7.7,8,8.7,9.4,9.5,8.8,7.5,6.6,5.7,5.6,5.9,6.3
Ghana,GHA,"Mortality rate attributed to unsafe water, unsafe sanitation and lack of hygiene (per 100,000 population)",SH.STA.WASH.P5,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,25.2,..,..,..,..
Ghana,GHA,"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,282.129,282.817,282.633,283.432,285.273,282.6,280.232,278.049,275.945,273.37,271.772,270.688,268.795,266.697,264.373,262.205,259.4,256.523,253.393,249.879,245.388,241.037,236.862,232.21,226.458,223.143,219.336,215.996,212.035,207.625,207.404,215.759,196.339,192.754
Ghana,GHA,"Mortality rate, adult, male (per 1,000 male adults)",SP.DYN.AMRT.MA,328.451,324.602,320.513,317.659,322.388,315.021,312.626,310.562,309.228,308.116,307.049,306.609,305.503,304.116,302.722,299.949,297.213,295.518,294.77,292.738,291.317,291.391,289.244,286.622,283.965,281.229,278.572,276.379,274.447,272.585,278.413,286.666,268.829,267.399
Ghana,GHA,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,72.7,70.9,69.6,68.8,68.3,67.8,67.3,66.5,65.2,63.7,61.7,59.7,57.8,56.2,54.7,53.4,52.1,50.7,49.2,47.5,45.8,44,42.3,40.7,39.3,37.9,36.6,35.4,34.1,32.9,31.7,30.5,29.4,28.4
Ghana,GHA,"Mortality rate, infant, female (per 1,000 live births)",SP.DYN.IMRT.FE.IN,66.2,64.4,63.1,62.2,61.7,61.2,60.7,59.9,58.8,57.2,55.4,53.6,51.8,50.1,48.7,47.4,46.2,45,43.6,42.1,40.5,38.9,37.4,36,34.7,33.5,32.3,31.1,30,28.9,27.8,26.8,25.8,24.9
Ghana,GHA,"Mortality rate, infant, male (per 1,000 live births)",SP.DYN.IMRT.MA.IN,79,77.2,75.9,75.1,74.5,74.1,73.5,72.6,71.3,69.7,67.7,65.6,63.6,61.9,60.4,59.1,57.7,56.2,54.5,52.7,50.8,48.8,47,45.2,43.6,42.2,40.7,39.4,38,36.6,35.3,34,32.8,31.7
Ghana,GHA,"Mortality rate, neonatal (per 1,000 live births)",SH.DYN.NMRT,42,41.2,40.5,40,39.4,38.9,38.2,37.5,36.8,36,35.2,34.4,33.7,33.1,32.5,32.1,31.6,31.1,30.6,29.9,29,28.1,27.1,26.1,25.2,24.3,23.4,22.6,21.8,21,20.4,19.7,19.2,18.7
Ghana,GHA,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,127.6,123.5,120.2,117.8,116,114.4,112.5,110.3,107.4,103.9,99.9,95.8,91.9,88.2,85,82,79.1,76.2,73.1,69.8,66.5,63.3,60.3,57.5,54.9,52.5,50.3,48.2,46.1,44.1,42.2,40.3,38.6,37.2
Ghana,GHA,"Mortality rate, under-5, female (per 1,000 live births)",SH.DYN.MORT.FE,119.9,115.6,112.3,109.9,108.1,106.5,104.7,102.4,99.6,96.1,92.3,88.2,84.4,80.8,77.5,74.6,71.8,69.1,66.1,63.1,60,57,54.2,51.7,49.3,47.1,45,43,41.1,39.3,37.5,35.8,34.3,33
Ghana,GHA,"Mortality rate, under-5, male (per 1,000 live births)",SH.DYN.MORT.MA,135,130.9,127.7,125.4,123.5,121.8,120,117.7,114.8,111.3,107.2,103,99,95.4,92,89.1,86.1,82.9,79.6,76.2,72.7,69.3,66,63,60.3,57.7,55.4,53.1,50.9,48.6,46.5,44.6,42.8,41.2
Ghana,GHA,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,..,..,..,74.6,74.6652145385742,75.3336563110352,75.9894561767578,76.6294631958008,82.4,77.8511276245117,80.5,78.9,79.5,76.9,80.7,78.4,80.7,82.7,84.8,84.2,72.8,85,86.8,88.5,90.8,88.4,89.8,90,89.9,93.8,94.6,95.2,95,97.5
Ghana,GHA,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,..,..,..,2.88737399274898,1.58188327755997,3.69449260642638,5.84076189699466,8.02875403552628,13.2811809712728,12.5339851120814,14.9,17.4,19.8,24,24.7,7.9,31.4,32.4,36.8,37.9,55.4,42,23.6,50.8,64,57,66.6,65.3,68.3,70,73.1,74,71.6,77.8
Ghana,GHA,Access to electricity (% of population),EG.ELC.ACCS.ZS,..,..,..,30.6,30.36940574646,32.4504508972168,34.5287704467773,36.6036949157715,42.6,40.7405395507813,43.7,44.8,46.8,48.3,50.8,41.3,55.1,56.9,60.5,61.1,64.2,64.1,56.5,70.7,78.3,74,79.3,79,80.4,83.5,85.4,86.3,85.1,89.5
Nigeria,NGA,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.549233086121929,0.534206768008091,0.470742539133469,0.436954905120644,0.393045646249364,0.396354013591345,0.419998493796127,0.358479005206684,0.35963763718498,0.381919104397325,0.348516707890877,0.319069049792343
Nigeria,NGA,"Adjusted net savings, excluding particulate emission damage (% of GNI)",NY.ADJ.SVNX.GN.ZS,38.9317093352279,40.1399834792844,31.0524950878661,18.4801443990806,20.744425584784,23.0356597033777,19.5706403529071,23.6848007209971,20.6942836250646,32.8702439317873,32.9447550187037,18.2732056803632,17.2936729031185,14.1344219189278,16.0146827057849,21.3500423524933,35.9554554325786,13.3448989000262,18.410682725576,14.490853363554,10.2444010102375,9.34861932837115,19.0398374024628,6.04901848644182,10.32182372585,6.48748993142931,5.49591883975005,6.83651910420336,6.21102341179283,9.51700587318642,16.6445439721868,20.5520616576926,..,..
Nigeria,NGA,"Prevalence of stunting, height for age, male (% of children under 5)",SH.STA.STNT.MA.ZS,49.7,..,..,..,..,..,..,..,..,..,..,..,..,45.7,..,..,..,..,..,..,..,36.8,..,..,35.4,35.6,45.7,..,39.4,..,36.1,35,..,..
Nigeria,NGA,"Prevalence of stunting, height for age, female (% of children under 5)",SH.STA.STNT.FE.ZS,47.7,..,..,..,..,..,..,..,..,..,..,..,..,39.4,..,..,..,..,..,..,..,34.9,..,..,31.7,30.4,41.4,..,34.1,..,26.9,32.5,..,..
Nigeria,NGA,"Prevalence of underweight, weight for age (% of children under 5)",SH.STA.MALN.ZS,33.1,..,..,35.1,..,..,..,..,..,..,..,..,..,26.7,..,..,..,..,..,..,..,24.2,..,..,20.6,19.5,31.5,..,21.8,..,18.4,24.4,..,..
Nigeria,NGA,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,..,..,..,..,..,..,..,..,..,..,..,8.7,8.7,8.8,8.9,9.1,9.2,9.4,9.6,9.9,10.4,11.1,11.7,11.4,11.1,10.7,10.8,11.5,12.1,14.3,15.8,17.6,18.7,19.9
Nigeria,NGA,"Mortality rate attributed to unsafe water, unsafe sanitation and lack of hygiene (per 100,000 population)",SH.STA.WASH.P5,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,71.7,..,..,..,..
Nigeria,NGA,"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,374.794,378.95,377.401,372.012,374.648,376.903,382.722,387.2,392.944,390.763,386.687,388.716,388.616,384.339,380.799,375.402,373.949,368.993,367.809,364.208,363.335,364.028,363.264,362.22,361.45,364.365,363.036,361.359,358.925,356.052,356.862,358.817,345.802,342.633
Nigeria,NGA,"Mortality rate, adult, male (per 1,000 male adults)",SP.DYN.AMRT.MA,426.746,434.23,433.096,433.319,436.859,435.828,438.459,436.962,432.941,426.424,420.766,413.918,407.223,400.042,393.771,395.492,394.456,389.583,385.116,383.557,381.744,379.82,377.929,378.192,378.732,379.757,375.861,374.323,372.09,368.64,373.086,372.991,360.381,356.354
Nigeria,NGA,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,104.7,104.7,104.7,104.7,104.6,104.2,103.4,102.1,100.2,97.7,94.9,91.8,88.6,85.6,82.7,80,77.7,75.6,73.8,72.3,71.1,70,69.1,68.5,68.1,68,68.1,68.3,68.7,69.1,69.5,69.9,70.2,70.1
Nigeria,NGA,"Mortality rate, infant, female (per 1,000 live births)",SP.DYN.IMRT.FE.IN,95.7,95.8,96,96.2,96.1,95.7,95,93.8,91.8,89.7,87.1,84,80.9,77.9,74.8,72.2,69.7,67.8,66.1,64.9,63.9,62.9,62.2,61.6,61.5,61.5,61.6,61.8,62.1,62.5,62.9,63.2,63.5,63.5
Nigeria,NGA,"Mortality rate, infant, male (per 1,000 live births)",SP.DYN.IMRT.MA.IN,113,113.2,113.1,112.8,112.6,112.2,111.4,109.9,108.1,105.3,102.3,99.2,96,92.9,90.1,87.5,85.2,83,81.2,79.4,77.9,76.7,75.8,75.1,74.6,74.2,74.2,74.5,74.9,75.3,75.7,76.1,76.5,76.5
Nigeria,NGA,"Mortality rate, neonatal (per 1,000 live births)",SH.DYN.NMRT,49.5,49.6,49.7,49.8,49.8,49.7,49.4,49,48.3,47.3,46.1,44.8,43.4,42.1,40.9,40,39.3,38.8,38.4,38.1,37.9,37.7,37.6,37.7,37.8,38,38.2,38.5,38.7,39,39.2,39.3,39.3,39.2
Nigeria,NGA,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,207.6,206.7,205.7,204.6,203.1,201,198.1,194.3,189.4,183.6,177.3,170.5,163.9,157.4,151.4,145.8,140.9,136.5,132.5,129.2,126.3,123.8,121.6,119.9,118.7,117.8,117.4,117.2,117.2,117.4,117.4,117.6,117.5,116.8
Nigeria,NGA,"Mortality rate, under-5, female (per 1,000 live births)",SH.DYN.MORT.FE,197.7,197,196.3,195.5,194.2,192.2,189.4,185.5,180.5,175.1,169,162.4,156,149.5,143.4,137.9,132.7,128.5,124.6,121.6,119.1,116.7,114.6,113,112,111.4,111,110.9,111,111.2,111.3,111.5,111.3,110.8
Nigeria,NGA,"Mortality rate, under-5, male (per 1,000 live births)",SH.DYN.MORT.MA,216.8,215.9,214.8,213.1,211.5,209.3,206.5,202.6,197.9,191.8,185.1,178.3,171.4,164.9,159,153.5,148.6,144,140.2,136.6,133.2,130.6,128.4,126.6,125.1,123.9,123.4,123.2,123.1,123.1,123.1,123.2,123.1,122.6
Nigeria,NGA,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,82.4,83.7839584350586,83.8470993041992,83.9070816040039,83.9607467651367,84.0049285888672,84.0364761352539,84.0522232055664,84.0490188598633,84.3,83.8,83.8,83.8,84.9,83.8,83.8,83.9,86.2,84.8,84.1,79.8,87.1,84.5,83.6,84.7,81.5,86,86.8,81.7,83.9,83.9,89.2,89,85
Nigeria,NGA,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,4.04391372536075,14.2529109017222,14.9700471628511,15.6931901780981,16.4231206189389,17.1597683755411,17.9032057830542,18.6585470745314,19.4251489051188,24.3267900721401,21.5,21.8,22.1,32.7,22.8,23.1,23.5,25.3,25.6,24.6,23.5,31,27,31.6,27.1,25.9,34,22.6,31,25.5,24.6,26.3,27,32.9
Nigeria,NGA,Access to electricity (% of population),EG.ELC.ACCS.ZS,27.3,35.2346000671387,36.0994606018066,36.9636459350586,37.8264694213867,38.6872520446777,39.5453186035156,40.3999824523926,41.2505683898926,44.9,43.2,43.9,44.6,52.2,46.1,46.8,47.6,50.1,50.3,50,48,55.9,53,55.6,54.2,52.5,59.3,54.4,56.5,55.4,55.4,59.5,60.5,61.2
Senegal,SEN,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,..,..,..,..,..,..,..,..,2.47458004951477,2.45981001853943,2.46335005760193,2.47150993347168,2.59441995620727,2.75125002861023,3.07778000831604,4.06443023681641,3.82138991355896,..,4.02568006515503,4.92072010040283,0.544770002365112,4.90302991867065,4.77698993682861,5.68656015396118,5.72907018661499,5.45634984970093,5.11309003829956,4.74007987976074,5.11019992828369,5.03525018692017,5.6869797706604,5.61201000213623,5.95222997665405,6.16277045366329
Senegal,SEN,"Adjusted net savings, excluding particulate emission damage (% of GNI)",NY.ADJ.SVNX.GN.ZS,3.47941335332437,2.97448608270871,2.51291189730901,-1.46534472858508,1.30723431657839,2.19481799824077,0.964234446213065,2.54716901616844,2.38295889550228,2.61131638951557,2.02844063694095,6.14020057978315,4.40657611648151,6.33380369286755,5.6349599628983,8.11217555137945,5.93290797420671,8.1993199987805,8.5486312848346,8.50834472402821,10.1483498471887,6.56363058356269,7.34601527979814,8.18257271499971,11.8103823776685,13.1399235811818,14.0140179343795,16.5602428434455,16.5961981221663,..,..,..,..,..
Senegal,SEN,"Prevalence of stunting, height for age, male (% of children under 5)",SH.STA.STNT.MA.ZS,..,..,..,32.4,..,..,30.3,..,..,..,29.1,..,..,..,..,20.9,..,..,..,..,..,28.2,17.3,17.9,15.3,19.5,19.4,18,21.7,18.9,..,..,..,18.5
Senegal,SEN,"Prevalence of stunting, height for age, female (% of children under 5)",SH.STA.STNT.FE.ZS,..,..,..,27.3,..,..,26.1,..,..,..,22.8,..,..,..,..,18.9,..,..,..,..,..,25.1,13.6,15,13.1,15.5,14.7,15,15.9,16.8,..,..,..,16.4
Senegal,SEN,"Prevalence of underweight, weight for age (% of children under 5)",SH.STA.MALN.ZS,..,20.4,..,19,..,..,18.5,..,..,..,17.8,..,..,..,..,14.5,..,..,..,..,..,18.4,14.4,14.8,12.8,14,13.8,14.4,15.1,14.4,..,..,..,16.2
Senegal,SEN,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,..,..,..,..,..,..,..,..,..,..,..,21.1,20,18.6,17.1,15.8,14.6,12.2,10.9,10.3,10.9,11.1,11.3,11.2,11.1,10,8.9,8,7.1,6.2,5.3,5.2,5.1,5.1
Senegal,SEN,"Mortality rate attributed to unsafe water, unsafe sanitation and lack of hygiene (per 100,000 population)",SH.STA.WASH.P5,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,31.7,..,..,..,..
Senegal,SEN,"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,226.56,222.753,219.884,218.825,217.324,221.043,226.999,228.477,232.261,233.636,230.179,226.077,218.532,216.248,211.013,208.127,200.956,192.997,188.522,180.534,177.596,171.338,168.001,164.784,162.916,160.068,159.496,156.309,153.062,149.901,149.198,165.122,151.223,138.533
Senegal,SEN,"Mortality rate, adult, male (per 1,000 male adults)",SP.DYN.AMRT.MA,289.969,285.532,283.031,282.724,278.501,280.039,281.119,284.771,288.391,284.966,289.478,287.972,284.266,283.13,275.165,269.225,263.054,253.284,250.567,250.144,246.143,241.048,237.354,233.849,229.715,223.166,219.984,216.818,213.918,211.564,216.375,238.2,220.003,203.192
Senegal,SEN,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,73,72.6,72.9,73.7,74.7,75.7,76.6,77.2,77.1,76.1,74,70.6,66.4,61.9,57.5,53.5,50.1,47.3,44.9,43.1,41.5,40.3,39.3,38.5,37.8,37.3,36.8,36.3,35.7,34.8,33.7,32.5,31.2,30
Senegal,SEN,"Mortality rate, infant, female (per 1,000 live births)",SP.DYN.IMRT.FE.IN,66.5,66.1,66.4,67,67.9,68.7,69.5,69.9,69.6,68.5,66.4,63.1,59,54.9,50.8,47.2,44,41.3,39.2,37.4,36,34.9,34.1,33.3,32.8,32.3,31.9,31.5,30.9,30.2,29.3,28.2,27.1,26.1
Senegal,SEN,"Mortality rate, infant, male (per 1,000 live births)",SP.DYN.IMRT.MA.IN,79.2,78.8,79.2,80,81.2,82.3,83.4,84.2,84.2,83.2,81.2,77.7,73.3,68.5,63.9,59.6,55.9,52.9,50.4,48.4,46.8,45.4,44.3,43.4,42.6,42.1,41.5,40.9,40.1,39.2,37.9,36.6,35.2,33.8
Senegal,SEN,"Mortality rate, neonatal (per 1,000 live births)",SH.DYN.NMRT,39.9,39.8,39.9,39.9,39.9,40,39.9,39.6,39.2,38.6,37.8,36.7,35.5,34.1,32.6,31.1,29.8,28.7,27.8,27.1,26.5,26,25.7,25.5,25.4,25.4,25.4,25.2,25,24.5,23.9,23.2,22.4,21.7
Senegal,SEN,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,137.2,135.2,134.6,135,136,137,137.8,137.9,136.7,133.8,128.9,121.7,113.2,104.2,95.5,87.6,80.8,75,70.1,66.1,62.8,60,57.6,55.5,53.7,52.2,50.8,49.4,47.9,46.2,44.2,42.2,40.1,38.2
Senegal,SEN,"Mortality rate, under-5, female (per 1,000 live births)",SH.DYN.MORT.FE,129.6,127.8,127.2,127.7,128.7,129.8,130.5,130.4,129.3,126.5,121.6,114.7,106.3,97.6,89.3,81.7,74.9,69.2,64.4,60.4,57.2,54.5,52.1,50.1,48.4,46.9,45.6,44.3,42.8,41.2,39.4,37.5,35.5,33.8
Senegal,SEN,"Mortality rate, under-5, male (per 1,000 live births)",SH.DYN.MORT.MA,144.5,142.3,141.7,142,142.8,143.8,144.7,145,143.8,140.8,135.7,128.4,119.6,110.4,101.4,93.3,86.4,80.5,75.6,71.5,68.1,65.2,62.7,60.6,58.8,57.3,55.8,54.3,52.7,50.9,48.8,46.6,44.4,42.4
Senegal,SEN,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,..,..,..,58.6,65.7216644287109,66.8891525268555,68.0439987182617,68.9,70.3031387329102,72.8,74.6,73.6,74.2,75.7,76.7,80.4,83.6,80,81.2,83.4,84.3,87.8,86.3,87.8,85,86.9,87.7,91.7,93.5,95.2,92,93.9,96.6,96.1
Senegal,SEN,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,..,..,..,4.87466167299289,2.07164054676155,3.91607759069201,5.7664919620875,7.84425287953184,9.49389437250895,11.6195222574929,12.8,15.3,11.3,18.6,8.7,23.3,25.4,24.5,26.1,30.6,34.9,31.7,32.5,31.8,41,38.1,44.5,35.4,41.4,47.8,38.6,43.4,43.4,56.5
Senegal,SEN,Access to electricity (% of population),EG.ELC.ACCS.ZS,..,..,..,26,27.190486907959,28.8571910858154,30.5211772918701,32.2,33.8382682800293,36.2,37.7,38.9,36.8,41.9,36.8,47.1,49.9,48.1,49.7,53.5,56.5,56.5,56.5,57,61,60.5,64.5,61.7,66,70.4,64.3,68,67.9,74.2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated: 04/08/2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
